Recipe Name URL Commit Message Maven Command
ModernizePluginForJava8,https://docs.openrewrite.org/recipes/jenkins/modernizepluginforjava8,"Breaks down the modernization of very old plugins into distinct steps. It allows modernizing all tooling up to the last versions that supported Java 8. This can then be followed by another recipe that makes the jump to Java 11.","mvn -U org.openrewrite.maven:rewrite-maven-plugin:run -Drewrite.recipeArtifactCoordinates=org.openrewrite.recipe:rewrite-jenkins:RELEASE -Drewrite.activeRecipes=org.openrewrite.jenkins.ModernizePluginForJava8"
Java8toJava11,https://docs.openrewrite.org/recipes/java/migrate/java8tojava11 "Applies changes commonly needed when upgrading to Java 11. Specifically for those applications that are built on Java 8 this recipe will update and add dependencies on J2EE libraries that are no longer directly bundled with the JDK. This recipe will also replace deprecated API with equivalents when there is a clear migration strategy. Build files will also be updated to use Java 11 as the target/source and plugins will be also be upgraded to versions that are compatible with Java 11.","mvn -U org.openrewrite.maven:rewrite-maven-plugin:run -Drewrite.recipeArtifactCoordinates=org.openrewrite.recipe:rewrite-migrate-java:RELEASE -Drewrite.activeRecipes=org.openrewrite.java.migrate.Java8toJava11"
ModernizeJenkinsfile,https://docs.openrewrite.org/recipes/jenkins/modernizejenkinsfile,"Updates Jenkinsfile to build with recommended Java versions platforms and settings.","mvn -U org.openrewrite.maven:rewrite-maven-plugin:run -Drewrite.recipeArtifactCoordinates=org.openrewrite.recipe:rewrite-jenkins:RELEASE -Drewrite.activeRecipes=org.openrewrite.jenkins.ModernizeJenkinsfile"
AddPluginsBom,https://docs.openrewrite.org/recipes/jenkins/addpluginsbom,"Adds Jenkins plugins BOM at the latest release if the project depends on any managed versions or an outdated BOM is present. BOMs are expected to be synchronized to Jenkins LTS versions  so this will also remove any mismatched BOMs (Such as using Jenkins 2.387.3  but importing bom-2.319.x). If the expected BOM is already added  the version will not be upgraded.","mvn -U org.openrewrite.maven:rewrite-maven-plugin:run -Drewrite.recipeArtifactCoordinates=org.openrewrite.recipe:rewrite-jenkins:RELEASE -Drewrite.activeRecipes=org.openrewrite.jenkins.AddPluginsBom"
CreateIndexJelly,https://docs.openrewrite.org/recipes/jenkins/createindexjelly,"Creates an index.jelly file if it does not exist. This is required for Jenkins to recognize the plugin as a valid plugin.","mvn -U org.openrewrite.maven:rewrite-maven-plugin:run -Drewrite.recipeArtifactCoordinates=org.openrewrite.recipe:rewrite-jenkins:RELEASE -Drewrite.activeRecipes=org.openrewrite.jenkins.CreateIndexJelly"
DisableLocalResolutionForParentPom,https://docs.openrewrite.org/recipes/jenkins/disablelocalresolutionforparentpom,"Explicitly sets <relativePath/> to disable file resolution as recommended in the plugin development guide.","mvn -U org.openrewrite.maven:rewrite-maven-plugin:run -Drewrite.recipeArtifactCoordinates=org.openrewrite.recipe:rewrite-jenkins:RELEASE -Drewrite.activeRecipes=org.openrewrite.jenkins.DisableLocalResolutionForParentPom"
JavaxAnnotationsToSpotbugs,https://docs.openrewrite.org/recipes/jenkins/javaxannotationstospotbugs,"SpotBugs is the preferred replacement of JSR-305 annotations for Jenkins plugins.","mvn -U org.openrewrite.maven:rewrite-maven-plugin:run -Drewrite.recipeArtifactCoordinates=org.openrewrite.recipe:rewrite-jenkins:RELEASE -Drewrite.activeRecipes=org.openrewrite.jenkins.JavaxAnnotationsToSpotbugs"
UpgradeHtmlUnit_3_3_0,https://docs.openrewrite.org/recipes/jenkins/upgradehtmlunit_3_3_0,"Automates the HtmlUnit migration guide from 2.x to 3.x. This change was brought in by parent 4.66.","mvn -U org.openrewrite.maven:rewrite-maven-plugin:run -Drewrite.recipeArtifactCoordinates=org.openrewrite.recipe:rewrite-jenkins:RELEASE -Drewrite.activeRecipes=org.openrewrite.jenkins.UpgradeHtmlUnit_3_3_0"
ModernizePlugin,https://docs.openrewrite.org/recipes/jenkins/modernizeplugin,"Modernize a Jenkins plugin to the latest recommended versions.","mvn -U org.openrewrite.maven:rewrite-maven-plugin:run -Drewrite.recipeArtifactCoordinates=org.openrewrite.recipe:rewrite-jenkins:RELEASE -Drewrite.activeRecipes=org.openrewrite.jenkins.ModernizePlugin"
CommonsLang3ToApiPlugin,https://docs.openrewrite.org/recipes/jenkins/commonslang3toapiplugin,"Updates pom.xml to depend on commons-lang3-api and exclude commons-lang3 where it is brought in transitively.","mvn -U org.openrewrite.maven:rewrite-maven-plugin:run -Drewrite.recipeArtifactCoordinates=org.openrewrite.recipe:rewrite-jenkins:RELEASE -Drewrite.activeRecipes=org.openrewrite.jenkins.CommonsLang3ToApiPlugin"
